choque_ou_fator,exposicao_condicionante,mediador_operacional,efeito_financeiro,desfecho_credito,defasagens_candidatas,contrafactual_ou_placebo
Alta da soja,futuro vendido e margem diária,"MTM negativo; chamada de margem antes da colheita","queda do caixa mínimo; uso de linha; juros",atraso/renegociação/RJ,"intradiário; 1d; 5d; 30d","produtor sem posição vendida não deveria sofrer o mesmo canal"
Alta da soja,volume físico aberto,"maior receita esperada e valor de estoque","aumento de caixa futuro e cobertura",redução de risco se produção se confirmar,"diário até recebimento","posição totalmente fixada não recebe o mesmo benefício"
Queda da soja,volume aberto e custo já contratado,"queda do preço líquido","redução de margem e DSCR",atraso/necessidade de nova dívida,"1d; 30d; até venda","volume já vendido a preço fixo deve ser menos sensível"
Queda da soja,opção de venda válida,"payoff da opção compensa preço","preservação parcial do preço líquido",redução do impacto de default,"diário/vencimento","opção expirada ou strike distante não protege igualmente"
Valorização do dólar,soja aberta dolarizada,"preço em BRL pode subir","receita esperada maior",efeito positivo condicional,"diário; 30d","produtor com preço BRL fixo não recebe o mesmo canal"
Valorização do dólar,insumos importados não comprados,"fertilizante/defensivo encarece","custo remanescente e capital de giro sobem",funding gap/renegociação,"7d; 30d; 90d","insumo comprado e pago deve ter baixa sensibilidade"
Valorização do dólar,dívida/derivativo em USD sem hedge,"passivo em BRL aumenta","alavancagem e serviço da dívida sobem",atraso/default,"diário; vencimento","passivo casado com receita USD reduz efeito líquido"
Seca na floração,área de sequeiro e baixa água no solo,"produtividade P10/P50 cai","receita e volume disponível caem",overhedge/não entrega/atraso,"10d; 30d; safra","área irrigada com água/energia disponíveis deve reagir menos"
Excesso de chuva na colheita,drenagem ruim e janela concentrada,"atraso; perda de qualidade; acesso ruim","receita menor e mais tardia; frete/armazenagem sobem",quebra de covenant/atraso,"1d; 7d; 30d","talhão bem drenado ou colheita encerrada é placebo parcial"
Enchente,rota ou armazém intersectado,"bloqueio e indisponibilidade","frete alternativo; atraso; perdas",atraso e redução de garantia,"horas; dias; semanas","evento sem interseção na rede não deve alterar risco"
Calor extremo,fase reprodutiva e cultivar sensível,"estresse fisiológico","queda da produtividade esperada",aumento de PD condicional,"horas; 7d; safra","fora da fase crítica deve ter efeito menor"
Praga nova,alta severidade e baixa eficácia de controle,"perda e aplicação extraordinária","custo sobe e receita cai",funding gap/overlay,"semanal; safra","alerta regional sem incidência no talhão não prova impacto"
Alta de fertilizante,parcela não contratada,"orçamento de compra aumenta","necessidade adicional de custeio",nova dívida/limite insuficiente,"semanal; 30d; 90d","estoque entregue e pago reduz exposição"
Alta do diesel,consumo aberto e longa distância,"operação e transporte encarecem","custo/ha e frete por tonelada sobem",queda do preço líquido/DSCR,"semanal; mensal","contrato de preço fixo ou estoque reduz sensibilidade"
Aumento de juros,dívida pós-fixada e refinanciamento,"serviço de dívida aumenta","DSCR cai; valor presente de ativos muda",renegociação/default,"evento; 30d; vencimento","dívida fixa até o vencimento é menos sensível"
Abertura do basis,volume aberto e praça distante,"futuro não acompanha preço local","preço líquido cai apesar do hedge",margem/DSCR piores,"diário; 30d","venda física com basis já fixado reduz efeito"
Interrupção ferroviária/hidroviária,dependência de corredor único,"migração para modal mais caro","frete e prazo sobem",atraso e necessidade de caixa,"dias; semanas","rota alternativa contratada reduz impacto"
Fila portuária,contrato com janela e penalidade,"demurrage/atraso/armazenagem","custo e recebimento tardio",covenant/atraso,"dias; 30d","venda doméstica não exposta ao porto é placebo"
Falha elétrica,secagem/armazenagem sem backup,"processo interrompido e qualidade piora","custo alternativo; perda; atraso",queda de garantia/receita,"horas; dias","backup testado e combustível disponível reduz efeito"
Guerra/sanção,fornecedor de insumo no país afetado,"oferta/prazo/logística se deteriora","preço e capital de giro sobem",funding gap,"dias; meses","fornecedor alternativo/estoque reduz exposição"
Guerra/sanção,comprador ou destino afetado,"demanda/recebimento/contrato comprometido","receita e prazo mudam",concentração/atraso,"dias; meses","compradores diversificados reduzem efeito"
Tarifa ou restrição comercial,produto/destino exposto,"paridade e fluxo comercial mudam","preço, basis e estoque mudam",margem/limite,"evento; semanas; meses","produção destinada ao mercado interno pode reagir diferente"
Postagem/notícia relevante,autor crível e exposição econômica,"expectativas e ordens de mercado mudam","preço/volatilidade/margem mudam",alerta de liquidez,"minutos; horas; dias","sem reação de mercado ou exposição não deve alterar PD"
Rumor coordenado/bots,sinal social sem confirmação,"volume informacional artificial","nenhum efeito econômico persistente ou reversão",falso alerta se não filtrado,"minutos; horas","diversidade de fontes e mercado ajudam falsificação"
Mudança de gestão,dependência de pessoa-chave,"decisão/execução/relacionamento se deteriora","erro orçamentário e atraso operacional",early warning/default,"semanas; safra","equipe com sucessão e funções cobertas reduz efeito"
Baixa qualidade de dados,modelo dependente de autodeclaração,"erro de mensuração e atraso de decisão","limite impreciso e incerteza maior",override/erro de classificação,"originação e contínuo","campos externos reconciliados reduzem efeito"
Pulverização PF/PJ/grupo,controle e fluxos não resolvidos,"dupla contagem ou patrimônio indisponível","dívida/caixa/garantia mal consolidados",limite excessivo/LGD maior,"originação; anual; evento","estrutura complexa mas totalmente documentada não deve ser punida por si"
Coobrigação acionada,garantia pessoal/aval relevante,"saída de caixa ou nova dívida","liquidez e alavancagem pioram",atraso/default,"evento; 30d","coobrigação extinta ou juridicamente inexigível não produz efeito"
Recuperação judicial de contraparte,venda/recebível concentrado,"pagamento atrasa ou recupera parcialmente","caixa e ativo elegível caem",atraso/RJ do produtor por contágio,"evento; 30d; 180d","recebível segurado/cedido sem coobrigação reduz efeito"
Seguro acionável,perda coberta e documentação adequada,"indenização provável com defasagem","reduz perda final mas pode não resolver caixa imediato",LGD menor; ainda pode haver atraso,"evento; 30d; 180d","apólice expirada/exclusão não protege"
Falha de máquina crítica,ativo sem redundância na janela,"plantio, aplicação ou colheita atrasa","custo de reparo/serviço sobe; receita atrasa ou cai",funding gap/atraso,"horas; dias; safra","ativo alternativo ou serviço com SLA reduz impacto"
