dominio,feature_name,granularidade,campos_fonte,calculo_resumido,conjunto_temporal,uso,mecanismo_economico,tratamento_ausencia,prioridade
Grupo,group_entity_count,grupo,"cpf;cnpj;relationship_type;effective_from;effective_to",contagem de entidades ativas na data,originação,subscore de complexidade,"mais entidades aumentam necessidade de consolidação, não risco automaticamente",pendência de resolução,P0
Grupo,unresolved_control_share,grupo,"ownership_share;control_evidence;validation_status",percentual de controle/titularidade não resolvido,originação,confiança/revisão,"incerteza sobre controle limita consolidação",bloqueio ou revisão conforme política,P0
Grupo,related_party_cashflow_ratio,grupo-mês,"payer_id;receiver_id;amount;relationship;date",fluxos intragrupo sobre entradas e saídas,originação/monitoramento,financeiro,"circulação interna pode duplicar receita ou mascarar necessidade",não calcular sem contas suficientes,P1
Grupo,asset_legal_availability_ratio,grupo,"asset_id;owner_id;lien;guarantee;haircut;legal_status",valor elegível disponível sobre ativo informado,originação,LGD/limite,"patrimônio formal pode não estar disponível ao credor",zero ou pendente conforme evidência,P0
Grupo,debt_reconciliation_gap,grupo-data,"scr_balance;contract_balance;erp_balance;duplicate_flag",diferença após reconciliação entre fontes,originação/monitoramento,qualidade/PD,"dívida omitida ou duplicada altera capacidade",revisão obrigatória,P0
Grupo,coobligation_exposure_ratio,grupo,"coobligation_amount;call_probability;policy_weight;total_debt",exposição ponderada sobre dívida consolidada,originação,PD/EAD,"coobrigação pode virar saída de caixa",política a definir; não assumir peso,P0
Governança,decision_role_separation,grupo,"user_role;approval_event;override_event",segregação entre elaboração revisão e aprovação,originação,subscore/revisão,"concentração decisória aumenta risco de erro e fraude",questionário + evidência,P1
Governança,financial_close_lag_days,grupo-mês,"period_end;close_date;source_document",dias até fechamento e reconciliação,originação/monitoramento,subscore gestão,"informação tardia reduz capacidade de reação",ausente como baixa confiança,P1
Gestão,budget_error_ratio,talhão-cultura-safra,"budget_cost;realized_cost;budget_yield;realized_yield",erro absoluto/relativo histórico,originação,PD/limite,"planejamento consistente reduz surpresa de caixa",mínimo de safras; caso contrário PENDING,P1
Gestão,management_data_completeness,grupo-safra,"required_field;value;validation_status",percentual de dados gerenciais completos e validados,originação/monitoramento,confiança,"dados incompletos limitam decisão e monitoramento",não imputar silenciosamente,P0
Gestão,key_person_dependency,grupo,"critical_role;person_id;backup_id;succession_plan",funções críticas sem substituto,originação,subscore/overlay,"ausência de pessoa-chave pode interromper operação",revisão qualitativa documentada,P1
Equipe,critical_role_coverage,grupo,"role;employee_or_provider;qualification;tenure;valid_until",percentual de funções críticas cobertas,originação/monitoramento,subscore gestão,"capacidade técnica e financeira depende da equipe",expiração da evidência,P1
Tecnologia,fmis_usage_consistency,grupo-mês,"system_id;login_or_record_event;coverage;reconciliation",meses com uso e reconciliação consistentes,originação/monitoramento,subscore gestão,"uso efetivo melhora controle; compra isolada não",não usar sem consentimento/evidência,P2
Tecnologia,critical_system_uptime,ativo-período,"system_id;downtime_start;downtime_end;criticality",disponibilidade ponderada por criticidade,monitoramento,early warning,"falha de irrigação/armazenagem/ERP afeta execução",fallback operacional,P2
Financeiro,validated_crop_revenue,operação-safra,"contract_id;quantity;price_formula;currency;quality;receipt_date;status",receita por contrato e volume aberto valorizado,originação/monitoramento,caixa/PD,"define entrada e seu timing",cenário conservador sinalizado,P0
Financeiro,contracted_revenue_ratio,cultura-safra,"contracted_quantity;eligible_production;counterparty;status",receita/volume contratado elegível sobre produção,originação/monitoramento,caixa/PD,"protege preço mas cria entrega e contraparte",não confundir contrato não validado,P0
Financeiro,realized_overhead_ratio,grupo-safra,"admin_expense;operating_expense;normalized_owner_comp;revenue",despesa indireta recorrente sobre receita,originação,caixa,"substitui proxy de 30% quando dados confiáveis",fallback com proxy_flag,P0
Financeiro,overhead_proxy_flag,operação,"overhead_source;model_version",1 quando usa percentual genérico,originação,confiança/reason code,"proxy pode omitir ou duplicar despesa",sempre explícito,P0
Financeiro,debt_service_30d,grupo-data,"contract_id;principal_schedule;interest_schedule;currency",principal+juros devidos em 30 dias,originação/monitoramento,caixa/PD,"pico de vencimento pressiona liquidez",não substituir por saldo total,P0
Financeiro,debt_service_90d,grupo-data,"contract_id;principal_schedule;interest_schedule;currency",principal+juros devidos em 90 dias,originação/monitoramento,caixa/PD,"captura janela operacional",não substituir por proxy,P0
Financeiro,debt_service_crop_cycle,operação-safra,"contract_id;cashflow_date;amount;priority",serviço total até recebimento da safra,originação/monitoramento,DSCR/limite,"alinha dívida ao ciclo produtivo",cronograma pendente bloqueia limite,P0
Financeiro,min_cash_base,grupo-safra,"opening_cash;cashflow_date;inflow;outflow;availability",mínimo do saldo de caixa no cenário base,originação/monitoramento,limite/PD,"risco ocorre no pior ponto, não apenas no total anual",cenário com intervalo se datas incertas,P0
Financeiro,min_cash_stress,grupo-safra,"scenario_id;cashflow_date;inflow;outflow",mínimo do saldo sob cenário nomeado,originação/monitoramento,limite/PD,"mede funding gap e sobrevivência ao choque",não misturar cenários incompatíveis,P0
Financeiro,dscr_crop_cycle,operação-safra,"available_cash;principal;interest;period",caixa disponível sobre serviço da dívida no ciclo,originação,limite/PD,"mede capacidade contratual",definição a aprovar pelo produto,P0
Financeiro,peak_debt,grupo-período,"balance_date;debt_balance;instrument",máxima dívida consolidada na janela,originação/monitoramento,PD/concentração,"fotografia de fim não captura pico",mínimo de série suficiente,P1
Financeiro,withdrawal_ratio,grupo-safra,"owner_distribution;personal_expense;operating_cashflow",retiradas/distribuições sobre geração,originação/monitoramento,caixa/governança,"retiradas reduzem caixa disponível",exige separação PF/PJ,P1
Mercado,physical_open_volume,cultura-vencimento,"production_p10;production_p50;sales_contract_qty;delivered_qty",produção elegível menos obrigações físicas,originação/monitoramento,mercado/caixa,"volume aberto está exposto a preço",calcular por percentil,P0
Mercado,net_delta_exposure,cultura-vencimento,"future_qty;option_qty;delta;contract_multiplier;physical_qty",soma das sensibilidades convertidas,monitoramento,hedge/alerta,"mede resposta imediata a preço",posição não reconciliada vira PENDING,P0
