dominio,fonte,produto_dado,frequencia_alvo,granularidade,acesso,papel,limitacao_principal,prioridade,url
Crédito,Histórico do credor-âncora,"propostas, decisões, limites, pagamentos, atrasos, recuperações e overrides",evento,"operação e grupo",contratual,"rótulo e validação","sem credor-âncora não há PD própria validável",P0,
Crédito,Banco Central CACR/Sicor,"operações rurais consentidas",evento/periódico,"beneficiário e operação",autorização do titular,"dívida e finalidade agro","escopo, prazo e revogação da autorização",P0,https://www.bcb.gov.br/estabilidadefinanceira/cacr
Crédito,Banco Central SCR/Registrato,"exposição financeira e coobrigações",mensal,"cliente",consentido/cliente habilitado,"dívida consolidada e tendência","sigilo, defasagem e necessidade de reconciliação",P0,https://www.bcb.gov.br/estabilidadefinanceira/scr
Financeiro,Open Finance,"contas, saldos, transações e crédito conforme escopo",evento/periódico,"titular e conta",parceiro autorizado/consentimento,"caixa, fluxo e endividamento","cobertura depende do consentimento e participantes",P0,https://openfinancebrasil.org.br/
Financeiro,ERP/extratos/contabilidade/NF-e/CT-e,"receita, custo, caixa, estoque, compras, vendas e fretes",diário/mensal,"documento, conta e entidade",consentido,"fluxo de caixa e reconciliação","qualidade, duplicidade e mistura PF/PJ",P0,
Grupo,Receita Federal CNPJ/QSA,"situação cadastral, sócios e administradores",mensal/evento,"CNPJ e participante",público/aberto,"titularidade e administração formal","QSA não prova controle econômico ou disponibilidade patrimonial",P0,https://www.gov.br/pt-br/servicos/consultar-cadastro-nacional-de-pessoas-juridicas
Grupo,Receita Federal e-BEF,"beneficiário final declarado",anual/evento,"entidade e pessoa",fornecido/autorizado conforme disponibilidade,"controle direto/indireto e influência significativa","não presumir acesso público universal",P0,https://www.gov.br/pt-br/servicos/informar-beneficiario-final-a-receita-federal
Grupo,Documentos societários e familiares,"contratos, procurações, regimes, sucessão, acordos e fluxos",evento,"pessoa, empresa e relação",consentido/diligência,"resolução econômica e poderes","exige interpretação jurídica; não inferir irregularidade",P0,
Gestão,Embrapa gestão por talhões,"custos, comparativos e ponto de equilíbrio por talhão",safra/mensal,"talhão e cultura",publicação + dados do produtor,"maturidade de gestão","existência de software não prova uso ou qualidade",P1,https://www.embrapa.br/en/busca-de-publicacoes/-/publicacao/1165023/a-gestao-da-propriedade-rural-por-talhoes
Tecnologia,MAPA agricultura digital e de precisão,"aplicações, conceitos e práticas",periódico,"prática/tecnologia",público,"taxonomia de capacidade tecnológica","deve ser confirmada por uso, manutenção e evidência",P1,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/tecnologia-agropecuaria/agricultura-de-precisao-1
Produção,IBGE LSPA/PAM/SIDRA,"área, produção e produtividade",mensal/anual,"estado/município",aberto,"baseline regional e choque agregado","não representa talhão individual",P1,https://www.ibge.gov.br/estatisticas/economicas/agricultura-e-pecuaria/9201-levantamento-sistematico-da-producao-agricola.html
Produção,CONAB,"safra, custo, rentabilidade e mapeamento",mensal/safra,"estado/região/local disponível",público,"benchmark produtivo e econômico","metodologia e granularidade variam por produto",P1,https://portaldeinformacoes.conab.gov.br/
Produção,IMEA,"preço, custo, produtividade, comercialização, frete e paridade",semanal/mensal,"praça/macrorregião MT",setorial/licenciamento a validar,"benchmark específico de Mato Grosso","licença e redistribuição precisam de validação",P1,https://www.imea.com.br/
Agronômico,MAPA ZARC,"janelas por cultura, município, solo, ciclo e risco",safra/portaria,"município e classe",público,"elegibilidade e risco climático normativo","não é previsão do talhão",P0,https://indicadores.agricultura.gov.br/zarc/index.htm
Clima,INMET,"estações, históricos e produtos agrometeorológicos",horário/diário,"estação",aberto,"observação e calibração","falhas e densidade espacial",P1,https://portal.inmet.gov.br/dadoshistoricos
Clima,CHIRPS,"precipitação em grade",diário/mensal,"grade",aberto,"série histórica e anomalias","produto satélite/modelado; calibrar localmente",P1,https://www.chc.ucsb.edu/data/chirps
Clima,ERA5-Land,"reanálise de variáveis terrestres",horário/mensal,"grade",aberto,"temperatura, água e evapotranspiração","reanálise não é observação direta",P1,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land
Clima,NASA POWER/SMAP,"meteorologia e umidade superficial",diário,"ponto/grade",aberto/login em parte,"cobertura e umidade","resolução e profundidade precisam ser consideradas",P1,https://power.larc.nasa.gov/
Solo,PronaSolos/Embrapa,"mapas e levantamentos de solos",periódico,"escala cartográfica",público,"textura, classe e aptidão","não substitui análise local",P1,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/pronasolos
Solo,SoilGrids,"propriedades do solo em grade",estático/versionado,"grade",aberto,"preenchimento e baseline","incerteza e escala",P2,https://soilgrids.org/
Satélite,Sentinel-1/2 e Landsat,"radar e óptico",dias,"pixel/talhão",aberto,"emergência, vigor, água, cobertura e mudança","nuvens, ruído, composição e calibração",P1,https://dataspace.copernicus.eu/
Territorial,MapBiomas,"uso da terra, agricultura, fogo, água e solo",anual/mensal conforme produto,"pixel/polígono",aberto conforme termos,"histórico e alertas","erro de classificação e versão da coleção",P1,https://mapbiomas.org/
Ambiental,INPE PRODES/DETER,"desmatamento e alertas",periódico,"polígono",aberto,"regra e diligência territorial","alerta não é julgamento jurídico",P0,https://terrabrasilis.dpi.inpe.br/
Ambiental,IBAMA,"áreas embargadas",evento/periódico,"pessoa/polígono",público,"impedimento/pendência conforme regra","identidade, data, categoria e exceções",P0,https://www.gov.br/ibama/pt-br/servicos/consultas/autuacoes-e-embargos/areas-embargadas
Mercado,B3 market data,"soja, dólar, DI, ajustes, negócios, volume e posições conforme feed",tempo real/fechamento,"contrato e vencimento",licenciado,"MTM, curva, margem e cenário","licenciamento, unidade e calendário",P0,https://www.b3.com.br/pt_br/market-data-e-indices/servicos-de-dados/market-data/
